run,tag,step,wall_time,value
baseline_cnn_20260602-0000_v1,validation/top1,19,1780353154.3771105,0.5564886927604675
baseline_cnn_20260602-0000_v1,validation/top1,20,1780353248.5611992,0.553394615650177
baseline_cnn_20260602-0000_v1,validation/top1,21,1780353342.585981,0.5816831588745117
baseline_cnn_20260602-0000_v1,validation/top1,22,1780353436.7472816,0.5494165420532227
baseline_cnn_20260602-0000_v1,validation/top1,23,1780353531.0544925,0.6052864193916321
baseline_cnn_20260602-0000_v1,validation/top1,24,1780353624.9405057,0.5896393060684204
baseline_cnn_20260602-0000_v1,validation/top5,0,1780351356.2874153,0.27369165420532227
baseline_cnn_20260602-0000_v1,validation/top5,1,1780351450.8524084,0.3643918037414551
baseline_cnn_20260602-0000_v1,validation/top5,2,1780351545.2340631,0.4082390367984772
baseline_cnn_20260602-0000_v1,validation/top5,3,1780351638.667419,0.3998408913612366
baseline_cnn_20260602-0000_v1,validation/top5,4,1780351732.8141227,0.5514497756958008
baseline_cnn_20260602-0000_v1,validation/top5,5,1780351831.409305,0.6293317079544067
baseline_cnn_20260602-0000_v1,validation/top5,6,1780351931.5719688,0.6490452885627747
baseline_cnn_20260602-0000_v1,validation/top5,7,1780352025.3634877,0.6886492371559143
baseline_cnn_20260602-0000_v1,validation/top5,8,1780352119.6596758,0.6898868680000305
baseline_cnn_20260602-0000_v1,validation/top5,9,1780352213.8174918,0.7741336822509766
baseline_cnn_20260602-0000_v1,validation/top5,10,1780352307.5916188,0.7383309602737427
baseline_cnn_20260602-0000_v1,validation/top5,11,1780352401.5872343,0.7684759497642517
baseline_cnn_20260602-0000_v1,validation/top5,12,1780352495.876727,0.7868635058403015
baseline_cnn_20260602-0000_v1,validation/top5,13,1780352590.2755365,0.7804101705551147
baseline_cnn_20260602-0000_v1,validation/top5,14,1780352683.9304428,0.7973833084106445
baseline_cnn_20260602-0000_v1,validation/top5,15,1780352778.147655,0.7850954532623291
baseline_cnn_20260602-0000_v1,validation/top5,16,1780352871.951018,0.8117043972015381
baseline_cnn_20260602-0000_v1,validation/top5,17,1780352965.7413378,0.7972065210342407
baseline_cnn_20260602-0000_v1,validation/top5,18,1780353059.8755236,0.8118811845779419
baseline_cnn_20260602-0000_v1,validation/top5,19,1780353154.3771145,0.8100247383117676
baseline_cnn_20260602-0000_v1,validation/top5,20,1780353248.5612035,0.8064002990722656
baseline_cnn_20260602-0000_v1,validation/top5,21,1780353342.5859869,0.8263790607452393
baseline_cnn_20260602-0000_v1,validation/top5,22,1780353436.7472866,0.8003005385398865
baseline_cnn_20260602-0000_v1,validation/top5,23,1780353531.0544965,0.8443245887756348
baseline_cnn_20260602-0000_v1,validation/top5,24,1780353624.9405103,0.8306223750114441
convnext_tiny_20260602-0858_v1,train/learning_rate,0,1780383810.0472953,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,1,1780384064.3251,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,2,1780384316.5916739,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,3,1780384570.2645454,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,4,1780384821.780187,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,5,1780385073.1386244,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,6,1780385323.927601,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,7,1780385576.9581146,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,8,1780385827.6730435,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,9,1780386080.648038,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,10,1780386334.8689697,0.0010000000474974513
convnext_tiny_20260602-0858_v1,train/learning_rate,11,1780386589.5337687,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,12,1780386841.8333688,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,13,1780387096.0418682,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,14,1780387350.2782845,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,15,1780387602.975242,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,16,1780387857.0978158,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,17,1780388109.0844355,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,18,1780388363.203838,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,19,1780388616.1728778,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,20,1780388868.7192636,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,21,1780389122.1051283,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,22,1780389375.5728679,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,23,1780389627.7749188,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,24,1780389883.599078,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,25,1780390136.8169672,9.999999747378752e-05
convnext_tiny_20260602-0858_v1,train/learning_rate,26,1780390389.8387387,9.999999747378752e-06
convnext_tiny_20260602-0858_v1,train/learning_rate,27,1780390643.4081285,9.999999747378752e-06
convnext_tiny_20260602-0858_v1,train/learning_rate,29,1780393183.9431672,9.999999747378752e-06
convnext_tiny_20260602-0858_v1,train/loss,0,1780383810.0470872,2.506650447845459
convnext_tiny_20260602-0858_v1,train/loss,1,1780384064.3249855,2.192260503768921
convnext_tiny_20260602-0858_v1,train/loss,2,1780384316.5915034,2.142500638961792
convnext_tiny_20260602-0858_v1,train/loss,3,1780384570.2644053,2.126722812652588
convnext_tiny_20260602-0858_v1,train/loss,4,1780384821.7800243,2.1131014823913574
convnext_tiny_20260602-0858_v1,train/loss,5,1780385073.1385205,2.104708194732666
convnext_tiny_20260602-0858_v1,train/loss,6,1780385323.927444,2.0965301990509033
convnext_tiny_20260602-0858_v1,train/loss,7,1780385576.9580145,2.0972609519958496
convnext_tiny_20260602-0858_v1,train/loss,8,1780385827.6729405,2.085127353668213
convnext_tiny_20260602-0858_v1,train/loss,9,1780386080.6479378,2.086806058883667
