class_idx,class_name,support,accuracy,precision,recall,f1,correct,incorrect
44,fried_rice,250,0.796,0.7566539923954373,0.796,0.7758284600389865,199,51
45,frozen_yogurt,250,0.912,0.8803088803088803,0.912,0.8958742632612967,228,22
46,garlic_bread,250,0.748,0.6584507042253521,0.748,0.7003745318352059,187,63
47,gnocchi,250,0.596,0.5437956204379562,0.596,0.5687022900763359,149,101
48,greek_salad,250,0.764,0.7732793522267206,0.764,0.7686116700201208,191,59
49,grilled_cheese_sandwich,250,0.564,0.5685483870967742,0.564,0.5662650602409639,141,109
50,grilled_salmon,250,0.66,0.5555555555555556,0.66,0.6032906764168191,165,85
51,guacamole,250,0.924,0.8555555555555555,0.924,0.8884615384615384,231,19
52,gyoza,250,0.776,0.7983539094650206,0.776,0.7870182555780935,194,56
53,hamburger,250,0.772,0.8212765957446808,0.772,0.7958762886597939,193,57
54,hot_and_sour_soup,250,0.932,0.8291814946619217,0.932,0.8775894538606402,233,17
55,hot_dog,250,0.896,0.9105691056910569,0.896,0.903225806451613,224,26
56,huevos_rancheros,250,0.488,0.6666666666666666,0.488,0.5635103926096998,122,128
57,hummus,250,0.568,0.7357512953367875,0.568,0.6410835214446952,142,108
58,ice_cream,250,0.752,0.8068669527896996,0.752,0.7784679089026915,188,62
59,lasagna,250,0.664,0.6747967479674797,0.664,0.6693548387096774,166,84
60,lobster_bisque,250,0.852,0.7689530685920578,0.852,0.8083491461100569,213,37
61,lobster_roll_sandwich,250,0.856,0.7955390334572491,0.856,0.8246628131021194,214,36
62,macaroni_and_cheese,250,0.704,0.7125506072874493,0.704,0.7082494969818913,176,74
63,macarons,250,0.912,0.9702127659574468,0.912,0.9402061855670104,228,22
64,miso_soup,250,0.896,0.9068825910931174,0.896,0.9014084507042253,224,26
65,mussels,250,0.86,0.8739837398373984,0.86,0.8669354838709677,215,35
66,nachos,250,0.7,0.7,0.7,0.7,175,75
67,omelette,250,0.64,0.6722689075630253,0.64,0.6557377049180328,160,90
68,onion_rings,250,0.872,0.889795918367347,0.872,0.8808080808080808,218,32
69,oysters,250,0.864,0.9557522123893806,0.864,0.907563025210084,216,34
70,pad_thai,250,0.912,0.76,0.912,0.8290909090909091,228,22
71,paella,250,0.836,0.76,0.836,0.7961904761904762,209,41
72,pancakes,250,0.788,0.8528138528138528,0.788,0.8191268191268192,197,53
73,panna_cotta,250,0.664,0.6360153256704981,0.664,0.649706457925636,166,84
74,peking_duck,250,0.74,0.8564814814814815,0.74,0.7939914163090128,185,65
75,pho,250,0.916,0.8773946360153256,0.916,0.8962818003913895,229,21
76,pizza,250,0.908,0.930327868852459,0.908,0.9190283400809717,227,23
77,pork_chop,250,0.468,0.45703125,0.468,0.4624505928853755,117,133
78,poutine,250,0.836,0.7977099236641222,0.836,0.81640625,209,41
79,prime_rib,250,0.748,0.8311111111111111,0.748,0.7873684210526316,187,63
80,pulled_pork_sandwich,250,0.708,0.75,0.708,0.728395061728395,177,73
81,ramen,250,0.832,0.8286852589641435,0.832,0.8303393213572855,208,42
82,ravioli,250,0.456,0.6477272727272727,0.456,0.5352112676056339,114,136
83,red_velvet_cake,250,0.696,0.8656716417910447,0.696,0.7716186252771617,174,76
84,risotto,250,0.548,0.7248677248677249,0.548,0.6241457858769932,137,113
85,samosa,250,0.768,0.8135593220338984,0.768,0.7901234567901235,192,58
86,sashimi,250,0.872,0.889795918367347,0.872,0.8808080808080808,218,32
87,scallops,250,0.568,0.5358490566037736,0.568,0.5514563106796116,142,108
88,seaweed_salad,250,0.856,0.8842975206611571,0.856,0.8699186991869919,214,36
89,shrimp_and_grits,250,0.628,0.5902255639097744,0.628,0.6085271317829458,157,93
90,spaghetti_bolognese,250,0.912,0.8260869565217391,0.912,0.8669201520912547,228,22
91,spaghetti_carbonara,250,0.948,0.8286713286713286,0.948,0.8843283582089551,237,13
92,spring_rolls,250,0.76,0.8050847457627118,0.76,0.7818930041152264,190,60
93,steak,250,0.404,0.48325358851674644,0.404,0.4400871459694989,101,149
94,strawberry_shortcake,250,0.772,0.6892857142857143,0.772,0.7283018867924528,193,57
95,sushi,250,0.732,0.8133333333333334,0.732,0.7705263157894737,183,67
96,tacos,250,0.664,0.6311787072243346,0.664,0.6471734892787525,166,84
97,takoyaki,250,0.828,0.8023255813953488,0.828,0.8149606299212598,207,43
98,tiramisu,250,0.608,0.6608695652173913,0.608,0.6333333333333333,152,98
99,tuna_tartare,250,0.504,0.5727272727272728,0.504,0.5361702127659574,126,124
100,waffles,250,0.852,0.8007518796992481,0.852,0.8255813953488372,213,37
